index,chemical_name,CASN
198,Chlorpyrifos-methyl,5598-13-0
200,Pyrene,129-00-0
201,Triticonazole,131983-72-7
203,Isoeugenol,97-54-1
206,"3,3'-Dichlorobenzidine dihydrochloride",612-83-9
205,4-(Diethylamino)benzaldehyde,120-21-8
207,EPN,2104-64-5
210,PharmaGSID48510,460081-99-6
213,4'-Acetylbiphenyl,92-91-1
216,"5,7-Dimethoxy-2H-chromen-2-one",487-06-9
218,Lactofen,77501-63-4
220,Pyriproxyfen,95737-68-1
221,C.I. Solvent Yellow 56,2481-94-9
219,Cytembena,21739-91-3
223,Propyzamide,23950-58-5
222,CI-1018,NOCAS_47248
224,"1,2-Phenylenediamine",95-54-5
225,Clodinafop-propargyl,105512-06-9
230,Dicyclohexylamine,101-83-7
229,Piperonyl butoxide,51-03-6
227,Azobenzene,103-33-3
